GTIN,DESCRIPTION,DEPARTMENT,COMMODITY,ITEM_SUBMISSION_DATE
00075609201059,"Olay Revitalizing & Hydrating Hand and Body Lotion with Vitamin C, 17 fl oz Pump",Personal Care,Body Moisturizers,2024-01-20 06:01:00.000
00887725000863,Electrolit ZERO Berry Blast Electrolyte Drink 21 fl oz,Beverages,Sports Drinks,2023-12-18 06:12:00.000
00033844012014,Complete Seasoning®,Pantry,Spices & Seasonings,2023-12-13 09:44:00.000
03616303242091,SH G.K.P N/P 10ML POWRM OPULENT OPAL IV,Beauty,Makeup,2024-01-11 07:52:00.000
00070640017867,"Blue Bunny Mini Swirls Strawberry Shortcake Cones, Frozen Dessert for Winter, 8 Pack",Frozen Foods,Ice Cream,2023-12-26 16:09:00.000
00076753108423,"SQUARE, MED 4CT Food Storage",Kitchen & Dining,Food Storage,2024-01-05 11:14:00.000
00076753108423,"SQUARE, MED 4CT Food Storage",Cleaning and Household,Food Storage,2024-01-05 11:14:00.000
00076753108423,"SQUARE, MED 4CT Food Storage",Kitchen & Dining,Kitchen Storage & Organization,2024-01-05 11:14:00.000
00041269591946,RM PALMER TRICKY TREATS MCF  66 OZ GUSSET BAG,Candy,Seasonal,2024-01-11 10:47:00.000
00041000022531,Knorr Side Meal N+S Alfredo 4.4 OZ,Pantry,Packaged Meals & Sides,2023-12-19 10:05:00.000
00052100040912,MCCORMICK GRILL MATES SWEET & SMOKY DRY RUB,Pantry,Spices & Seasonings,2023-12-08 06:15:00.000
00644124681839,Tuscany Scented Triple Pour Jar Candle - Warm Birch Woods,Home Décor,Candles & Home Fragrances,2023-12-15 10:31:00.000
00644124681839,Tuscany Scented Triple Pour Jar Candle - Warm Birch Woods,Cleaning and Household,Air Fresheners,2023-12-15 10:31:00.000
00644124678945,Tuscany Scented Triple Pour Jar Candle - Coconut Colada,Home Décor,Candles & Home Fragrances,2024-01-22 11:50:00.000
00051000027948,"Prego Italian Tomato Pasta Sauce Flavored With Meat, 24 oz Jar",Pantry,Pasta & Pasta Sauces,2024-01-22 14:09:00.000
00071567985888,3.5 oz JB SMOOTHIE BLEND,Candy,Gummy & Chewy,2023-12-07 13:02:00.000
00071567985888,3.5 oz JB SMOOTHIE BLEND,Candy,Gummy & Chewy,2023-12-07 13:02:00.000
00070640012510,"Blue Bunny Premium Cookies & Cream Frozen Dessert, 48 fl oz",Frozen Foods,Ice Cream,2023-12-26 16:09:00.000
00070640012534,"Blue Bunny Premium Double Strawberry Swirl Frozen Dessert, 48 fl oz",Frozen Foods,Ice Cream,2023-12-26 16:09:00.000
00044000027353,MINI NILLA WAFER COOKIES VANILLA 112OZ,Pantry,Cookies,2024-01-17 08:16:00.000
00052851053551,Sadaf Roasted Eggplant,Pantry,International,2024-01-15 16:54:00.000
00041200104556,"O-Ke-Doke Popcorn, Hot Cheese Popcorn, 3 Oz Bag",Pantry,Snacks,2024-01-19 06:48:00.000
00077975092712,"Snyder's of Hanover, Itty Bitty Minis Pretzels, 12 Oz Bag",Pantry,Snacks,2023-12-18 15:14:00.000
20673416197745,Organic Long Grain White Rice 2 Lb. (6 Count Case),Pantry,"Grains, Beans & Rice",2024-01-19 07:38:00.000
00829262000197,Bobo's Oat Bars - Peanut Butter Pack,Pantry,Snacks,2024-01-18 11:03:00.000
00071160055766,Pyrex Easy Grab 9.5in/24cm PiePlate -- EACH --,Kitchen & Dining,Bakeware,2023-12-15 09:36:00.000
00079656031799,BB ULTRA SPORT CLR C-SPR SPF50+ 6OZ,Beauty,Sun & Tanning,2024-01-08 09:55:00.000
00079656031799,BB ULTRA SPORT CLR C-SPR SPF50+ 6OZ,Personal Care,Sun & Tanning,2024-01-08 09:55:00.000
00079625017861,EVERYDAY ESSENTIALS,Beauty,Makeup,2023-12-14 13:35:00.000
00076808535600,Mini Penne Barilla 16oz Pasta Box USA,Pantry,Pasta & Pasta Sauces,2024-01-16 08:56:00.000
00089036442008,SF CLASSIC HAZELNUT 375 ML,Beverages,Coffee,2023-12-07 11:19:00.000
00076808003901,Rotini Gluten Free Ba 12oz Pasta Box USA,Pantry,Pasta & Pasta Sauces,2024-01-16 08:42:00.000
00075002300168,Local Hive 100% Raw & Unfiltered US Northwest Honey in a 16oz bottle,Pantry,"Spreads, Jelly & Honey",2024-01-22 12:44:00.000
00027500614391,"Archway Cookies, Crispy Windmill Cookies, 9 Oz Box",Pantry,Cookies,2024-01-19 06:45:00.000
00095008000978,"essie salon-quality nail polish, vegan, jet black, Licorice, 0.46 fl oz",Beauty,Makeup,2024-01-23 09:28:00.000
00073130026110,"Oroweat Onion Rolls, 8 count, 21 oz",Pantry,"Bread, Buns & Rolls",2023-12-20 13:59:00.000
00711464015812,Blue Dragon Spring roll wrappers,Pantry,International,2024-01-09 13:23:00.000
00762111261649,STARBUCKS MEDIUM BREAKFAST BLEND KCup 32 Count Coffee Pods 14.1oz,Beverages,Coffee,2024-01-19 13:58:00.000
00848974005665,Grip Strip Bar Board,Kitchen & Dining,Kitchen Tools & Gadgets,2024-01-05 16:00:00.000
00312547427951,LISTERINE COOLMINT 95ML,Personal Care,Oral Care,2024-01-22 09:17:00.000
00312547427951,LISTERINE COOLMINT 95ML,Personal Care,Oral Care,2024-01-22 09:17:00.000
00312547427951,LISTERINE COOLMINT 95ML,Personal Care,Minis & Travel Size,2024-01-22 09:17:00.000
00079400646767,Suave Hair Care 3n1 DIS FRZN2 Strawberry 28 FO,Beauty,Hair Care,2024-01-12 08:34:00.000
00079400646767,Suave Hair Care 3n1 DIS FRZN2 Strawberry 28 FO,Personal Care,Hair Care,2024-01-12 08:34:00.000
00079400646767,Suave Hair Care 3n1 DIS FRZN2 Strawberry 28 FO,Personal Care,Hair Care,2024-01-12 08:34:00.000
00787651606675,AZO Yeast Plus Dual Relief Homeopathic Yeast Infection Symptom Relief,Personal Care,Feminine Care,2024-01-17 12:35:00.000
00079656004236,BB Sport Ltn SPF50 Bonus 10oz,Beauty,Sun & Tanning,2023-12-19 13:52:00.000
00079656004236,BB Sport Ltn SPF50 Bonus 10oz,Personal Care,Sun & Tanning,2023-12-19 13:52:00.000
00794711002896,GALIL PRESERVES ORANGE MARMALADE,Pantry,International,2024-01-09 00:31:00.000
00021908418667,Larabar Blueberry Muffin Fruit & Nut Bars 16 Count,Pantry,Snacks,2024-01-15 12:07:00.000
40073010712865,"TAMPAX Pocket Pearl, Regular, Plastic Tampons, Unscented, 16 Count",Personal Care,Feminine Care,2024-01-10 06:13:00.000
40073010713114,"Tampax Radiant Tampons, Super Absorbency, 28 Count",Personal Care,Feminine Care,2024-01-09 08:30:00.000
00041321005756,"Wish-Bone Ranch Salad Dressing, 15 FL OZ",Pantry,Condiments & Salad Dressings,2024-01-08 10:16:00.000
00013562001705,Annie's Organic Vegan Mac Shells & Sweet Potato Pumpkin Macaroni and Sauce,Pantry,Packaged Meals & Sides,2023-12-21 06:08:00.000
00019200837224,LYSOL TBC AUTO LAV 80G 2CT,Cleaning and Household,Cleaning Supplies,2023-12-11 12:51:00.000
00019200837224,LYSOL TBC AUTO LAV 80G 2CT,Cleaning and Household,Cleaning Supplies,2023-12-11 12:51:00.000
00037000974819,"Olay Exfoliating Body Wash with Sea Salts, 22 fl oz",Beauty,Bath & Body,2024-01-23 14:08:00.000
00037000974819,"Olay Exfoliating Body Wash with Sea Salts, 22 fl oz",Personal Care,Bath & Body,2024-01-23 14:08:00.000
00039800090218,ENER MAX 9V-4,Cleaning and Household,Batteries,2023-12-13 17:21:00.000
00022796916716,OGX B&C CONDITIONER 385ML/13Z,Beauty,Hair Care,2024-01-18 12:01:00.000
00022796916716,OGX B&C CONDITIONER 385ML/13Z,Personal Care,Hair Care,2024-01-18 12:01:00.000
00034000005222,ALMOND JOY MILK CHOCOLATE COCONUT & ALMOND KING SIZE BAR,Candy,Chocolate,2024-01-18 08:41:00.000
00034000005222,ALMOND JOY MILK CHOCOLATE COCONUT & ALMOND KING SIZE BAR,Candy,Chocolate,2024-01-18 08:41:00.000
00033844002060,Cinnamon Sticks,Pantry,Spices & Seasonings,2023-12-12 16:53:00.000
00043427008495,Liebers Oil Spray Vegetable,Pantry,Baking & Cooking,2024-01-08 15:35:00.000
00043427008495,Liebers Oil Spray Vegetable,Pantry,International,2024-01-08 15:35:00.000
00070778840009,DO NOT USE Purity Sherbet Pop-Ups Orange 3 Fluid Ounce 6 Pack,Frozen Foods,Ice Cream,2024-01-18 16:31:00.000
00079400350305,Dove Men+Care Anti-Perspirant Aerosol Clean Comfort 3.8 FO,Personal Care,Deodorants/Antiperspirant,2024-01-18 22:19:00.000
00047400653771,Gillette Satin Care Ultra Sensitive Women's Shave Gel 7 Oz,Personal Care,Shaving & Hair Removal,2023-12-07 06:23:00.000
00051000231789,"Campbell's Chunky Soup, Clam and Corn Chowder, 18.8 Oz Can",Pantry,Canned Foods,2023-12-04 07:01:00.000
00300410101138,"Oral-B 3D White Pro-Flex Stain Eraser Toothbrushes, Soft, 2 Count",Personal Care,Oral Care,2024-01-23 10:23:00.000
00190298000438,Red Rooster Hot Sauce 12 OZ,Pantry,Condiments & Salad Dressings,2024-01-19 09:52:00.000
00742676400516,Organic 100% Double Green® Matcha,Beverages,Tea & Kombucha,2024-01-23 13:04:00.000
00855019000325,Botticelli Tomato & Basil Sauce,Pantry,Pasta & Pasta Sauces,2023-12-21 15:07:00.000
00037000970453,"ALWAYS Infinity Size 1 Regular Sanitary Pads with Wings Unscented, 18 Count",Personal Care,Feminine Care,2023-12-31 06:03:00.000
00020662006189,24z Newmans Own Sockarooni Pasta Sauce,Pantry,Pasta & Pasta Sauces,2023-12-27 09:11:00.000
00850009885364,TB  Potato Gnocchi GNG,Pantry,Pasta & Pasta Sauces,2023-12-04 16:36:00.000
00074170462715,SH AB SKIN RG TANNINGWATER 20IV,Beauty,Sun & Tanning,2024-01-23 09:10:00.000
03606000512238,Acne Foaming Cream Cleanser 5.0 OZ,Beauty,Face Care,2024-01-17 10:03:00.000
00020685003097,"Cape Cod Potato Chips, Original Less Fat Kettle Chips, Snack Bags, 16 Ct",Pantry,Snacks,2024-01-19 06:42:00.000
00020685003097,"Cape Cod Potato Chips, Original Less Fat Kettle Chips, Snack Bags, 16 Ct",Pantry,Snacks,2024-01-19 06:42:00.000
40073010714821,L. ORGANIC COTTON Tampons Super,Personal Care,Feminine Care,2024-01-08 06:32:00.000
40073010714821,L. ORGANIC COTTON Tampons Super,Personal Care,Feminine Care,2024-01-08 06:32:00.000
00819215020075,Waterloo Watermelon Sparkling Water,Beverages," Sparkling Water & Seltzer Water",2023-12-07 08:31:00.000
00819215020075,Waterloo Watermelon Sparkling Water,Beverages," Sparkling Water & Seltzer Water",2023-12-07 08:31:00.000
05010724527504,"BATISTE DRY SHAMPOO, ORIGINAL FRAGRANCE, MINI 1.06 OZ",Beauty,Hair Care,2024-01-22 09:17:00.000
00851949004334,Roar Organic Mango Clementine EACH,Beverages,Water,2023-12-14 10:32:00.000
00730127100085,Kvuzat Yavne Mini Eggplants,Pantry,International,2023-12-19 11:11:00.000
00730127100085,Kvuzat Yavne Mini Eggplants,Pantry,Canned Foods,2023-12-19 11:11:00.000
08005978200010,LA FAVORITA VEGAN BASIL PESTO,Pantry,International,2023-12-11 14:14:00.000
00793099102808,Don Julio 18oz Authentic Mexican Style Tortilla Chips,Pantry,Snacks,2024-01-12 17:07:00.000
00047400141292,"Gillette Venus Smooth Women's Razor Blade Refills, 4 Count",Personal Care,Shaving & Hair Removal,2023-12-13 18:01:00.000
00076168001036,Iron Out Automatic Toilet Bowl Cleaner 2 use,Cleaning and Household,Cleaning Supplies,2023-12-22 09:00:00.000
00072609741837,Alden's Mint Chip Ice Cream 1.5 QT,Frozen Foods,Ice Cream,2024-01-12 14:26:00.000
00041554267198,"Maybelline Instant Age Rewind Instant Eraser Multi-Use Concealer, 150, 0.2 fl oz",Beauty,Makeup,2023-12-28 11:34:00.000
00079656046649,US BB SPO PERF LIPBLM SPF50+ 0.15oz,Beauty,Sun & Tanning,2023-12-20 12:07:00.000
00079656046649,US BB SPO PERF LIPBLM SPF50+ 0.15oz,Personal Care,Sun & Tanning,2023-12-20 12:07:00.000
00079656046649,US BB SPO PERF LIPBLM SPF50+ 0.15oz,Personal Care,Lip Care,2023-12-20 12:07:00.000
00810521011153,Virgin de Guadalupe Replica Candle,Home Décor,Candles & Home Fragrances,2023-12-07 16:17:00.000
00813958009908,Fad Free/ low merucy traceable,Pantry,Canned Foods,2023-12-08 23:11:00.000
00856901006043,"Da Bomb Bling Full Size Bath Bomb, 7oz.",Personal Care,Bath & Body,2024-01-15 08:09:00.000
00856901006043,"Da Bomb Bling Full Size Bath Bomb, 7oz.",Beauty,Bath & Body,2024-01-15 08:09:00.000
00037000983255,"Old Spice Aluminum Free Deodorant for Men, Krakengard, 48 Hr. Protection, 3.0 oz",Personal Care,Deodorants/Antiperspirant,2024-01-15 07:48:00.000
00037000983255,"Old Spice Aluminum Free Deodorant for Men, Krakengard, 48 Hr. Protection, 3.0 oz",Personal Care,Deodorants/Antiperspirant,2024-01-15 07:48:00.000
00043427200752,LIEBER'S - APPLE SAUCE CUPS- SWEET,Pantry,International,2024-01-09 09:31:00.000
00043427200752,LIEBER'S - APPLE SAUCE CUPS- SWEET,Pantry,Snacks,2024-01-09 09:31:00.000
10041608000204,Summer's Eve Blissful Escape 15oz Wash,Personal Care,Feminine Care,2024-01-09 15:48:00.000
00073010710375,Tampax PEARL Tampons Super,Personal Care,Feminine Care,2024-01-12 13:02:00.000
00073010710375,Tampax PEARL Tampons Super,Personal Care,Feminine Care,2024-01-12 13:02:00.000
00034000296057,KIT KAT MILK CHOCOLATE STANDARD BAR 6-PACK,Candy,Chocolate,2024-01-18 09:15:00.000
00034000296057,KIT KAT MILK CHOCOLATE STANDARD BAR 6-PACK,Candy,Chocolate,2024-01-18 09:15:00.000
00037000890355,"Always Infinity FlexFoam pads with wings unscented size 2 heavy flow absorbency, 46 count",Personal Care,Feminine Care,2024-01-10 06:13:00.000
00015665770458,PIRATE'S BOOTY Aged White Cheddar Rice And Corn Puffs Bag,Pantry,Snacks,2024-01-22 14:30:00.000
00015665770458,PIRATE'S BOOTY Aged White Cheddar Rice And Corn Puffs Bag,Pantry,Snacks,2024-01-22 14:30:00.000
00037700328141,Chinet CW  Appetizer and Dessert Plate,Cleaning and Household,Disposable Tableware,2024-01-11 13:52:00.000
00073416197633,Organic Short Grain Brown Rice 2 Lb.,Pantry,"Grains, Beans & Rice",2024-01-19 10:55:00.000
00048001354722,Hellmann's Mayonnaise Squeeze 11.5 FO,Pantry,Condiments & Salad Dressings,2023-12-05 13:38:00.000
00052462456239,"12"" Geranium Planter Blue/Coral",Floral,Ferns & Outdoor Floral,2024-01-17 15:47:00.000
00043427007337,Liebers Salad Dressing Lite 1000,Pantry,Condiments & Salad Dressings,2024-01-08 15:29:00.000
00052100004723,MCCORMICK GOURMET MARJORAM ORG .37 OZ,Pantry,Spices & Seasonings,2024-01-18 06:32:00.000
00052100005966,MCCORMICK  GARLIC MINCED,Pantry,Spices & Seasonings,2023-12-08 06:16:00.000
00074170382334,SH HAN COL N/P 13.3 ML HEART OF STO IV,Beauty,Makeup,2024-01-10 07:54:00.000
00051000211651,"Campbell's Chunky Soup, Pub-Style Chicken Pot Pie Soup, 18.8 oz Can",Pantry,Canned Foods,2023-12-01 06:33:00.000
00070852000596,CLOVER ORG HALF & HALF QUART,Beverages,Coffee,2024-01-12 13:31:00.000
00043000067116,"McCafe Breakfast Blend, Single Serve Coffee Keurig K-Cup Pods, Light Roast, 12 Count",Beverages,Coffee,2023-12-13 13:02:00.000
00070778821008,DO NOT USE Purity Ice Cream Sandwiches Homemade Style Vanilla 3.5 Fluid Ounce 12 Pack,Frozen Foods,Ice Cream,2024-01-18 16:31:00.000
00051381846275,"Aura Cacia Natural Cocoa Butter, Natural Body Butter, Fair Trade Certified&trade;, CERTIFIED ORGANIC",Personal Care,Body Moisturizers,2024-01-11 11:12:00.000
00051381846275,"Aura Cacia Natural Cocoa Butter, Natural Body Butter, Fair Trade Certified&trade;, CERTIFIED ORGANIC",Personal Care,Body Moisturizers,2024-01-11 11:12:00.000
00051000214515,"Swanson 100% Natural Vegetable Stock, 32 Oz Carton",Pantry,Canned Foods,2023-12-01 06:39:00.000
00070227610726,STREITS COOKIE MIX FUDGE,Pantry,Baking & Cooking,2024-01-08 11:40:00.000
00043427160353,LIEBER'S COCOA PREMIUM,Pantry,International,2024-01-09 22:49:00.000
00043427160353,LIEBER'S COCOA PREMIUM,Pantry,Baking & Cooking,2024-01-09 22:49:00.000
00043427160353,LIEBER'S COCOA PREMIUM,Beverages,Drink Mixes & Beverage Enhancers,2024-01-09 22:49:00.000
00051000167798,"Campbell's Chunky Soup, Healthy Request Chicken and Sausage Gumbo, 18.8 oz Can",Pantry,Canned Foods,2023-12-03 14:33:00.000
00070409002295,2 in 1 Carpet Cleaner,Cleaning and Household,Cleaning Supplies,2024-01-09 10:36:00.000
00305210232518,Vaseline Skin Care Cocoa Butter 0.25 FO,Beauty,Makeup,2024-01-18 16:19:00.000
00856579002675,Spindrift Half and Half Sparkling Water 8pk,Beverages," Sparkling Water & Seltzer Water",2024-01-15 13:01:00.000
00856579002675,Spindrift Half and Half Sparkling Water 8pk,Beverages," Sparkling Water & Seltzer Water",2024-01-15 13:01:00.000
00043427100663,LIEBERS SPICES CURRY POWDER,Pantry,International,2024-01-08 09:19:00.000
00603741000553,WISSOTZKY MASALA CHAI TEA,Beverages,Tea & Kombucha,2024-01-12 02:56:00.000
00016000149434,Nature Valley Peanut Butter Chocolate Crispy Creamy Wafer Bar 5 Count,Pantry,Snacks,2023-12-07 06:07:00.000
00051000212320,"Campbell's Condensed Healthy Request Family Size Chicken Noodle Soup, 22.4 Ounce Can",Pantry,Canned Foods,2023-12-03 15:16:00.000
00071164302217,HK TEA TREE & ROSEMARY OIL 5 IN 1,Beauty,Hair Care,2024-01-16 10:37:00.000
00071164302217,HK TEA TREE & ROSEMARY OIL 5 IN 1,Personal Care,Hair Care,2024-01-16 10:37:00.000
00071164301111,HK TEA TREE & ROSEMARY OIL SH,Beauty,Hair Care,2024-01-16 09:46:00.000
00071164301111,HK TEA TREE & ROSEMARY OIL SH,Personal Care,Hair Care,2024-01-16 09:46:00.000
50644124696500,Tuscany Scented Triple Pour Jar Candle - Harbor Shore,Home Décor,Candles & Home Fragrances,2023-12-15 10:31:00.000
00190679007100,"Herbal Essences Honey Daily Moisture Sulfate Free Shampoo, 13.5 fl oz, Nourishes Dry Hair, with Certified Camellia Oil and Aloe Vera, For All Hair Types, Especially Dry Hair",Beauty,Hair Care,2024-01-04 13:33:00.000
00190679007100,"Herbal Essences Honey Daily Moisture Sulfate Free Shampoo, 13.5 fl oz, Nourishes Dry Hair, with Certified Camellia Oil and Aloe Vera, For All Hair Types, Especially Dry Hair",Personal Care,Hair Care,2024-01-04 13:33:00.000
00037000710752,"Crest Premium Plus Scope Outlast Toothpaste, Long Lasting Mint Flavor 7.2 oz",Personal Care,Oral Care,2024-01-12 22:30:00.000
00887725000252,Electrolit Strawberry-Kiwi Electrolyte Drink 21 fl oz,Beverages,Sports Drinks,2023-12-18 06:12:00.000
00887725000436,Electrolit Berry Bliss 21 fl oz,Beverages,Sports Drinks,2023-12-18 06:12:00.000
03616302977888,SH COL THER N/P 0.5FLOZ+14.7ML SHADE1 IV,Beauty,Makeup,2024-01-17 09:06:00.000
00079656031829,BB UM ULTRA SPORT SPF30 BONUS 8OZ,Personal Care,Sun & Tanning,2023-12-19 13:52:00.000
10810521011150,St.Jude Virgen de Guadalupe Réplica Candle,Home Décor,Candles & Home Fragrances,2023-12-07 16:17:00.000
00725181249016,LUCAS SALSAGHETI WATERMELON,Candy,Gummy & Chewy,2024-01-11 12:17:00.000
00687735301291,Pacifica Ultra CC Cream Radiant Foundation Natural/Medium,Beauty,Makeup,2024-01-11 17:29:00.000
00043427253048,LIEBER'S DRINK FRUIT TETRA PAK,Pantry,International,2024-01-09 14:56:00.000
00858089003227,"Halo Top Peanut Butter Cup Light Ice Cream, 16 fl oz Pint",Frozen Foods,Ice Cream,2023-12-26 16:09:00.000
00079400462237,Dove Deodorant Stick Coconut & Pink Jasmine 74 GR,Personal Care,Deodorants/Antiperspirant,2023-12-21 06:17:00.000
00070481010300,Murphy Murphy Cleaners Spray Clean & Shine Spray,Cleaning and Household,Cleaning Supplies,2024-01-23 15:30:00.000
00036000195866,POISE MOD ABSORB PAD FRESH PROTECTION REG PK 20,Personal Care,Incontinence,2024-01-22 12:20:00.000
00073010713079,"Tampax Radiant Tampons with LeakGuard Braid, Regular Absorbency, Unscented, 28 Count",Personal Care,Feminine Care,2023-12-06 13:01:00.000
00073010713079,"Tampax Radiant Tampons with LeakGuard Braid, Regular Absorbency, Unscented, 28 Count",Personal Care,Feminine Care,2023-12-06 13:01:00.000
10073010712864,"TAMPAX Pocket Pearl, Regular, Plastic Tampons, Unscented, 16 Count",Personal Care,Feminine Care,2024-01-10 06:13:00.000
00368093077157,Coleman Scented Citronella Tin Candle - Campfire,Cleaning and Household,Air Fresheners,2023-12-21 13:48:00.000
00037000866480,"Always Discreet Adult Incontinence Underwear for Women and Postpartum Underwear, XXL, 13 CT, up to 100% Bladder Leak Protection",Personal Care,Incontinence,2024-01-12 11:50:00.000
00099900837205,Baby Ruth Fun Size Individually Wrapped 10.2 oz bag,Candy,Chocolate,2024-01-18 12:12:00.000
00099900837205,Baby Ruth Fun Size Individually Wrapped 10.2 oz bag,Candy,Chocolate,2024-01-18 12:12:00.000
00039400016984,Bush's Red Beans in a Hot Chili Sauce 16 oz,Pantry,Canned Foods,2024-01-07 07:11:00.000
00030800501896,Dum Dums Original 11.4 oz. Assorted Flavor Bonus Lay Down Bag,Candy,Hard Candy & Lollipops,2023-12-19 10:29:00.000
00037000890331,"Always Maxi Overnight Pads with Wings, Size 4, Overnight, Unscented, 33 CT",Personal Care,Feminine Care,2024-01-09 08:44:00.000
00019100109940,JERG 21OZ ORIGINAL SCENT US/CARIB,Personal Care,Body Moisturizers,2023-12-20 10:56:00.000
00022400640457,TRESemmé Hair Spray Aerosol Freeze 11 FO,Beauty,Hair Care,2023-12-27 17:31:00.000
00022400640457,TRESemmé Hair Spray Aerosol Freeze 11 FO,Personal Care,Hair Care,2023-12-27 17:31:00.000
00034000245024,HERSHEYS SPECIAL DARK CHOCOLATE STANDARD BAR 6-PACK,Candy,Chocolate,2024-01-04 06:34:00.000
00034000245024,HERSHEYS SPECIAL DARK CHOCOLATE STANDARD BAR 6-PACK,Candy,Chocolate,2024-01-04 06:34:00.000
00041000008436,Lipton Bags Tea Green Tea 40 CT,Beverages,Tea & Kombucha,2024-01-04 23:01:00.000
00011110914477,Kroger® Seedless Raisins 20 oz Reclosable Canister,Pantry,Snacks,2023-12-29 09:16:00.000
00040000004608,"SKITTLES Original Chewy Candy, Share Size Bag",Candy,Gummy & Chewy,2023-12-18 10:55:00.000
00040000004608,"SKITTLES Original Chewy Candy, Share Size Bag",Candy,Gummy & Chewy,2023-12-18 10:55:00.000
00011110906656,KROGER 16 OZ SMALL SHELLS,Pantry,Pasta & Pasta Sauces,2024-01-19 07:17:00.000
00041260370762,KRO 2oz-4/6pk ES Berry,Beverages,Energy Drinks,2024-01-10 10:42:00.000
00014100074649,"Pepperidge Farm Verona Strawberry Thumbprint Cookies, 6.75 OZ Bag (18 Cookies)",Pantry,Cookies,2024-01-18 22:47:00.000
00015800030584,C&H® Premium Pure Cane Granulated Sugar 4 lb Carton,Pantry,Baking & Cooking,2024-01-19 10:37:00.000
00037600141734,"Spam ® Hickory Smoke Flavored, 7 g protein, 12 oz.",Pantry,Canned Foods,2024-01-04 06:07:00.000
00037000974758,"Olay Ultra Moisture Body Wash with Coconut Oil, 22 fl oz",Beauty,Bath & Body,2024-01-23 14:08:00.000
00037000974758,"Olay Ultra Moisture Body Wash with Coconut Oil, 22 fl oz",Personal Care,Bath & Body,2024-01-23 14:08:00.000
40073010711288,"TAMPAX Pearl, Super, Plastic Tampons, Unscented, 36 Count",Personal Care,Feminine Care,2024-01-18 06:19:00.000
00017000144276,Keratin Color 1.8 Ruby Noir Kit 12ct US,Personal Care,Hair Care,2023-12-11 20:40:00.000
00017000144276,Keratin Color 1.8 Ruby Noir Kit 12ct US,Beauty,Hair Care,2023-12-11 20:40:00.000
20073010713189,"TAMPAX Pocket Radiant Compact Tampons, Super Absorbency, 14 Count",Personal Care,Feminine Care,2024-01-09 08:30:00.000
00071720532935,Charleston Mini Chew Theater,Candy,Chocolate,2023-12-08 09:19:00.000
00071720532935,Charleston Mini Chew Theater,Candy,Chocolate,2023-12-08 09:19:00.000
00034000002030,REESES STICKS MILK CHOCOLATE PEANUT BUTTER & CRISPY WAFER KING SIZE BAR,Candy,Chocolate,2024-01-18 08:41:00.000
00034000002030,REESES STICKS MILK CHOCOLATE PEANUT BUTTER & CRISPY WAFER KING SIZE BAR,Candy,Chocolate,2024-01-18 08:41:00.000
00019800001179,Drano Max Gel Clog Rmvr 32floz/12 US,Cleaning and Household,Cleaning Supplies,2024-01-16 11:15:00.000
00037000851615,"Olay Moisture Ribbons Plus Shea + Notes of Manuka Honey Body Wash, 18 oz",Beauty,Bath & Body,2023-12-15 20:18:00.000
00037000851615,"Olay Moisture Ribbons Plus Shea + Notes of Manuka Honey Body Wash, 18 oz",Personal Care,Bath & Body,2023-12-15 20:18:00.000
00038909000173,RAKUSEN MATZO THIN PLAIN,Pantry,Snacks,2024-01-08 12:57:00.000
00038909000173,RAKUSEN MATZO THIN PLAIN,Pantry,International,2024-01-08 12:57:00.000
00013000009546,"Heinz Tomato Ketchup Blended With Jalapeno, 14 oz Squeeze Bottle",Pantry,Condiments & Salad Dressings,2024-01-22 20:03:00.000
00035751114294,Bon Appetit Marble Cake 4oz,Pantry,Snacks,2024-01-09 16:17:00.000
00019100109995,JERG 21OZ ULTRA HEALING US/MDM/ASEAN,Personal Care,Body Moisturizers,2023-12-20 10:56:00.000
00037000009351,"Tide PODS Liquid Laundry Detergent Soap Pacs, HE Compatible, 57 Count, Powerful 3-in-1 Clean in one Step, Original Scent",Cleaning and Household,LAUNDRY,2023-12-06 02:40:00.000
00031146215539,NONGSHIM SHRIMP CRACKER,Pantry,International,2023-12-13 13:20:00.000
00013409451335,Sweet Baby Ray's Honey BBQ 40 oz.,Pantry,Condiments & Salad Dressings,2024-01-22 13:07:00.000
00014100089001,"Pepperidge Farm Montauk Soft Baked Milk Chocolate Chunk Cookies, 8.6 Oz Bag (8 Cookies)",Pantry,Cookies,2024-01-09 12:39:00.000
00033844007577,Sazón Tropical,Pantry,Spices & Seasonings,2023-12-13 07:50:00.000
00041000671517,Lipton Tea Green Mint 20 PC,Beverages,Tea & Kombucha,2024-01-04 23:01:00.000
00085178000670,"RADIUS Toothbrush Replacement Heads, Soft, 2CT",Personal Care,Oral Care,2023-12-19 08:29:00.000
00054467050382,Starbucks Cocoa Mix Marshmallow 8ct,Beverages,Drink Mixes & Beverage Enhancers,2024-01-10 10:52:00.000
00079625016062,START THE DAY BEAUTIFULLY KIT,Beauty,Makeup,2023-12-14 10:03:00.000
00074170357288,SH XTR WEAR N/P 11.8ML PACIFIC BLUE IV,Beauty,Makeup,2023-12-14 15:42:00.000
00054100794130,"Armour Star Vienna Sausage, Original Flavor, Canned Sausage, 4.6 oz. (Pack of 6)",Pantry,Canned Foods,2024-01-23 12:46:00.000
00043427191104,LIEBER'S GARLIC POWDER 1LB,Pantry,Spices & Seasonings,2024-01-09 22:41:00.000
00043427191104,LIEBER'S GARLIC POWDER 1LB,Pantry,International,2024-01-09 22:41:00.000
